1001, Hammer, 156, 3/15/2022, 12.99
1002, Screwdriver, 200, 4/10/2022, 7.50
1003, Wrench, 120, 5/23/2022, 9.75
1004, Pliers, 160, 6/17/2022, 8.25
1005, Drill, 80, 7/30/2022, 52.40
1006, Saw, 90, 8/14/2022, 15.55
1007, Chisel, 100, 9/1/2022, 5.65
1008, Level, 110, 10/20/2022, 3.99
1009, Tape Measure, 200, 11/11/2022, 4.99
1010, Utility Knife, 300, 12/24/2022, 3.45
1011, Socket Set, 75, 1/18/2023, 25.60
1012, Ratchet, 85, 2/15/2023, 17.89
1013, Wire Stripper, 60, 3/10/2023, 12.30
1014, Hand Saw, 55, 4/2/2023, 18.99
1015, Vise, 50, 5/20/2023, 23.50
1016, File Set, 45, 6/30/2023, 14.95
1017, Pipe Wrench, 50, 7/25/2023, 21.40
1018, Claw Hammer, 85, 8/13/2023, 13.20
1019, Rubber Mallet, 95, 9/1/2023, 7.85
1020, Sledgehammer, 40, 10/5/2023, 22.30
1021, Flashlight, 180, 11/10/2023, 9.99
1022, Adjustable Wrench, 100, 12/15/2023, 10.99
1023, Hex Key Set, 110, 1/19/2024, 8.55
1024, Drill Bits Set, 200, 2/28/2024, 19.90
1025, Sander, 65, 3/30/2024, 31.75
1026, Staple Gun, 70, 4/15/2024, 18.45
1027, Measuring Wheel, 30, 5/21/2024, 26.30
1028, Angle Grinder, 40, 6/18/2024, 57.99
1029, Bench Grinder, 25, 7/22/2024, 75.80
1030, Tool Box, 90, 8/30/2024, 39.99
